the,[ðə],то;определенный артикль
be,[bi],быть;нужно;будь
and,[ənd],и
of,[əv],от;показывает принадлежность
a,[eɪ],а;неопределённый артикль
to,[tə],к;по направлению;указывает на инфинитив глагола
I,[aɪ],я;у меня;мне
have,[həv],иметь;есть;позволять;уговаривать;уже
it,[ˌaɪ ˈtiː],это;именно
in,[ɪn],в;на
he,[hi],он;у него;ему
that,[ðæt],этот;что;чтобы это;который
you,[ju],ты;вы
not,[nɒt],не;нет
his,[hɪz],его
say,[seɪ],говорить;скажем
on,[ɒn],на;включать на;чтобы
with,[wɪð],с;с помощью
as,[əz],как;икак;так как;поскольку;по мере того как;столько;сколько;чем;такой же
for,[fə(r)],для
at,[ət],на;при
but,[bət],но;лишь
do,[də],делать
they,[ðeɪ],они;у них;им
her,[hə(r)],ее;она;у нее;ей
she,[ʃi],она;у нее;ей
my,[maɪ],мой;я
can,[kæn],мочь;можно ли;можно;канистра
will,[wɪl],быть;если;воля(завещание)
him,[hɪm],он
all,[ɔːl],все;весь;полностью
there,[ðeə(r)],там
me,[miː],я
we,[wi],мы
go,[ɡəʊ],ходить;пойти;проходить
from,[frəm],из;от;чтобы
what,[wɒt],что;какой
this,[ðɪs],это;этот
out,[aʊt],из
so,[səʊ],так;таким образом;так что;такой
up,[ʌp],вверх;по
see,[siː],видеть;смотри
one,[wʌn],один
come,[kʌm],приходить;начинать
them,[ðəm],они;он
no,[nəʊ],нет;без;не
by,[baɪ],к;что
know,[nəʊ],знать
if,[ɪf],если;при
look,[lʊk],смотреть;выглядеть;смотреть;взгляд
when,[wen],когда
get,[ɡet],получать;становиться;убеждать;понять;осознать;удивить;изумить
or,[ɔː(r)],или
then,[ðen],затем;тогда
like,[laɪk],любить;хотеть;похожий
now,[naʊ],сейчас;теперь
think,[θɪŋk],думать
which,[wɪtʃ],что
into,[ˈɪntə],на
their,[ðeə(r)],их
about,[əˈbaʊt],около;о;почти;вновь
make,[meɪk],делать
down,[daʊn],вниз;вниз по
time,[taɪm],время
take,[teɪk],брать;требоваться;требовать;передавать;принимать;выбирать
your,[jɔː(r)],ваш
man,[mæn],человек
more,[mɔː(r)],более;больший;дополнительный;больше
who,[huː],кто;который
back,[bæk],назад;возвращать;обратная сторона;спина;обратно;в ответ
mister,[ˈmɪs.tər],господин
some,[səm],около
very,[ˈveri],очень
over,[ˈəʊvə(r)],над;в течение;через;заканчиваться;пере;выше
hand,[hænd],рука
little,[ˈlɪtl],маленький;немного;небольшой
tell,[tel],сказать
us,[əs],нас
may,[meɪ],мочь;возможно;май;можно;нельзя
well,[wel],хорошо;хороший;колодец;геол)скважина
other,[ˈʌðə(r)],другой
before,[bɪˈfɔː(r)],до;прежде;прежде;чем
way,[weɪ],путь;способ
again,[əˈɡen],снова;кроме того
shall,[ʃəl],должен;если;быть
find,[faɪnd],находить;найти;обнаруживать;оказываться;начинать
just,[dʒʌst],только что;только;едва;безошибочный;верный;правильный;точный
eye,[aɪ],глаз
don,[dɒn],дон
than,[ðən],чем
here,[hɪə(r)],здесь;сюда
any,[ˈeni],любой
how,[haʊ],как
where,[weə(r)],где;куда
old,[əʊld],старый
good,[ɡʊd],хорошо;хороший
leave,[liːv],оставлять;оставаться;уходить
give,[ɡɪv],давать
even,[ˈiːvn],даже;ровный;четный
day,[deɪ],день;дневной
away,[əˈweɪ],прочь
through,[θruː],через
off,[ɒf],от;с
too,[tuː],слишком;тоже
great,[ɡreɪt],большой
never,[ˈnevə(r)],никогда
after,[ˈɑːftə(r)],после;впоследствии;после того;как
long,[lɒŋ],длинный;долго (длиной);длинно;длиннее
hear,[hɪə(r)],слышать;получать известие
turn,[tɜːn],поворот;поворачивать;оборот
feel,[fiːl],чувствовать
much,[mʌtʃ],много;значительно;очень;многое
head,[hed],голова;инф)мех)головка;союз)глава;главный
our,[ɑː(r)],наш
seem,[siːm],казаться;кажется
right,[raɪt],право;правый;правильный;вправо
must,[məst],должен;по-видимому;должны
face,[feɪs],лицо;сталкиваться с;лицевой
two,[tuː],два;двух
still,[stɪl],все еще;все же;неподвижный
want,[wɒnt],хотеть
door,[dɔː(r)],дверь;вход
first,[fɜːst],первый;сначала
upon,[əˈpɒn],на;с
last,[lɑːst],последний;последний раз;прошлый
something,[ˈsʌmθɪŋ],что-то;кое-чем
though,[ðəʊ],хотя;все-же
night,[naɪt],ночь;ночной
light,[laɪt],свет;легкий;зажигать;светлый;световой
stand,[stænd],стоять;устанавливать;стенд
open,[ˈəʊpən],открывать;открытый
room,[ruːm],комната;размещать
keep,[kiːp],держать;сохранять;продолжать;встр)проводить
place,[pleɪs],место;устанавливать
ask,[ɑːsk],спрашивать;просить
ever,[ˈevə(r)],когда-либо
around,[əˈraʊnd],вокруг;около;везде
try,[traɪ],пробовать;пытаться;попытка
let,[let],позволять;давайте
sit,[sɪt],сидеть
himself,[hɪmˈself],сам;себя
such,[sʌtʃ],такой
people,[ˈpiːpl],люди
begin,[bɪˈɡɪn],начинать;начало
own,[əʊn],собственный;обладать;принадлежать
house,[haʊs],дом;размещать
nothing,[ˈnʌθɪŋ],ничто
call,[kɔːl],звонить;называть;звать;комм)вызов;вызывать;встр)созывать;призыв;призывать
once,[wʌns],однажды;как только;один раз
thing,[θɪŋ],вещь
put,[pʊt],помещать;устанавливать
voice,[vɔɪs],голос;высказывать;речевой
mr,[ˈmɪstə(r)],г-н;м-р
why,[waɪ],почему
these,[ðiːz],эти;они;этот
mean,[miːn],означать;хотеть;предназначаться;средство;средний
speak,[spiːk],говорить
because,[bɪˈkɒz],потому что;поскольку
another,[əˈnʌðə(r)],другой
many,[ˈmeni],много;многий
those,[ðəʊz],те;тот
while,[waɪl],пока
most,[məʊst],большинство;наиболее;больше всего;самый
real,[rɪəl],реальный
work,[wɜːk],работа;работать;труд;рабочий
